# BOSCH-DARAB extract file created 08.08.2020 14:22:16
#
# Data from source file "C:\Users\nic\Michigan State University\RSO-MSU Formula Racing Team - General\SR22 - Car XX\Systems\Simulation\results\2019_MIS_endurance_constant_aero_coeffs.bmsbin"
# where 0.000 <= xtime <= 120.129
# 
xtime    [   s]	enginespeed[revo]
          0.000	      10073.340
          0.010	      10097.824
          0.020	      10121.997
          0.030	      10146.030
          0.040	      10169.953
          0.050	      10193.727
          0.060	      10217.320
          0.070	      10240.880
          0.080	      10264.443
          0.090	      10287.860
          0.100	      10311.107
          0.110	      10334.313
          0.120	      10357.520
          0.130	      10380.613
          0.140	      10403.630
          0.150	      10426.630
          0.160	      10449.547
          0.170	      10472.320
          0.180	      10494.950
          0.190	      10517.434
          0.200	      10539.840
          0.210	      10562.250
          0.220	      10584.660
          0.230	      10607.023
          0.240	      10629.330
          0.250	      10651.560
          0.260	      10673.727
          0.270	      10695.820
          0.280	      10717.740
          0.290	      10739.573
          0.300	      10761.480
          0.310	      10783.207
          0.320	      10804.907
          0.330	      10826.570
          0.340	      10848.104
          0.350	      10869.584
          0.360	      10891.010
          0.370	      10912.270
          0.380	      10933.370
          0.390	      10954.460
          0.400	      10975.553
          0.410	      10996.567
          0.420	      11017.430
          0.430	      11038.050
          0.440	      11058.550
          0.450	      11079.000
          0.460	      11099.386
          0.470	      11119.824
          0.480	      11140.050
          0.490	      11160.080
          0.500	      11180.193
          0.510	      11200.180
          0.520	      11220.007
          0.530	      11239.750
          0.540	      11259.380
          0.550	      11278.823
          0.560	      11298.080
          0.570	      11317.350
          0.580	      11336.614
          0.590	      11355.824
          0.600	      11374.930
          0.610	      11393.817
          0.620	      11412.513
          0.630	      11431.160
          0.640	      11449.770
          0.650	      11468.337
          0.660	      11486.850
          0.670	      11503.354
          0.680	      11507.077
          0.690	      11493.770
          0.700	      11470.980
          0.710	      11438.040
          0.720	      11151.588
          0.730	       9851.144
          0.740	       9856.771
          0.750	       9874.260
          0.760	       9905.602
          0.770	       9952.365
          0.780	       9993.867
          0.790	      10018.787
          0.800	      10037.830
          0.810	      10055.050
          0.820	      10071.730
          0.830	      10088.093
          0.840	      10104.280
          0.850	      10120.360
          0.860	      10136.347
          0.870	      10152.240
          0.880	      10168.047
          0.890	      10183.710
          0.900	      10199.210
          0.910	      10214.560
          0.920	      10229.853
          0.930	      10245.130
          0.940	      10260.337
          0.950	      10275.410
          0.960	      10290.300
          0.970	      10305.037
          0.980	      10319.680
          0.990	      10334.270
          1.000	      10348.883
          1.010	      10363.370
          1.020	      10377.660
          1.030	      10391.877
          1.040	      10406.037
          1.050	      10420.150
          1.060	      10434.170
          1.070	      10448.040
          1.080	      10461.720
          1.090	      10475.243
          1.100	      10488.654
          1.110	      10501.930
          1.120	      10515.066
          1.130	      10528.083
          1.140	      10541.040
          1.150	      10553.957
          1.160	      10566.807
          1.170	      10579.590
          1.180	      10592.283
          1.190	      10604.886
          1.200	      10617.400
          1.210	      10629.817
          1.220	      10642.144
          1.230	      10654.380
          1.240	      10666.520
          1.250	      10678.570
          1.260	      10690.530
          1.270	      10702.343
          1.280	      10714.020
          1.290	      10725.540
          1.300	      10737.010
          1.310	      10748.547
          1.320	      10759.960
          1.330	      10771.186
          1.340	      10782.350
          1.350	      10793.320
          1.360	      10804.340
          1.370	      10815.287
          1.380	      10826.050
          1.390	      10836.663
          1.400	      10847.160
          1.410	      10857.540
          1.420	      10867.813
          1.430	      10877.993
          1.440	      10888.060
          1.450	      10897.993
          1.460	      10907.750
          1.470	      10917.350
          1.480	      10926.807
          1.490	      10936.177
          1.500	      10945.510
          1.510	      10954.793
          1.520	      10964.003
          1.530	      10973.150
          1.540	      10982.224
          1.550	      10991.223
          1.560	      11000.160
          1.570	      11009.010
          1.580	      11017.740
          1.590	      11026.380
          1.600	      11034.953
          1.610	      11043.513
          1.620	      11052.120
          1.630	      11060.780
          1.640	      11069.480
          1.650	      11078.200
          1.660	      11086.947
          1.670	      11095.737
          1.680	      11104.620
          1.690	      11113.637
          1.700	      11122.723
          1.710	      11131.740
          1.720	      11140.706
          1.730	      11149.613
          1.740	      11158.520
          1.750	      11167.596
          1.760	      11176.790
          1.770	      11186.000
          1.780	      11195.213
          1.790	      11204.474
          1.800	      11213.790
          1.810	      11223.163
          1.820	      11232.593
          1.830	      11242.080
          1.840	      11251.617
          1.850	      11261.183
          1.860	      11270.700
          1.870	      11280.153
          1.880	      11289.613
          1.890	      11299.140
          1.900	      11308.803
          1.910	      11318.570
          1.920	      11328.430
          1.930	      11338.380
          1.940	      11348.430
          1.950	      11358.580
          1.960	      11368.817
          1.970	      11379.127
          1.980	      11389.450
          1.990	      11399.827
          2.000	      11410.270
          2.010	      11420.840
          2.020	      11431.510
          2.030	      11442.247
          2.040	      11453.050
          2.050	      11463.886
          2.060	      11474.770
          2.070	      11485.700
          2.080	      11496.620
          2.090	      11507.460
          2.100	      11518.231
          2.110	      11528.893
          2.120	      11539.493
          2.130	      11550.010
          2.140	      11560.463
          2.150	      11570.897
          2.160	      11581.309
          2.170	      11591.610
          2.180	      11601.690
          2.190	      11611.580
          2.200	      11621.270
          2.210	      11630.784
          2.220	      11640.120
          2.230	      11649.313
          2.240	      11658.377
          2.250	      11667.320
          2.260	      11676.076
          2.270	      11684.640
          2.280	      11693.000
          2.290	      11701.170
          2.300	      11709.150
          2.310	      11716.960
          2.320	      11724.643
          2.330	      11732.200
          2.340	      11739.590
          2.350	      11746.657
          2.360	      11753.373
          2.370	      11760.010
          2.380	      11766.497
          2.390	      11772.740
          2.400	      11778.740
          2.410	      11784.540
          2.420	      11790.210
          2.430	      11795.780
          2.440	      11801.237
          2.450	      11806.550
          2.460	      11811.700
          2.470	      11816.657
          2.480	      11821.483
          2.490	      11826.220
          2.500	      11830.943
          2.510	      11835.677
          2.520	      11840.410
          2.530	      11845.140
          2.540	      11849.823
          2.550	      11854.480
          2.560	      11859.127
          2.570	      11863.793
          2.580	      11868.480
          2.590	      11873.207
          2.600	      11877.983
          2.610	      11882.820
          2.620	      11887.703
          2.630	      11892.643
          2.640	      11897.630
          2.650	      11902.677
          2.660	      11907.777
          2.670	      11912.920
          2.680	      11918.120
          2.690	      11923.363
          2.700	      11928.660
          2.710	      11933.997
          2.720	      11939.394
          2.730	      11944.870
          2.740	      11950.443
          2.750	      11956.084
          2.760	      11961.780
          2.770	      11967.503
          2.780	      11973.227
          2.790	      11978.960
          2.800	      11984.724
          2.810	      11990.477
          2.820	      11996.240
          2.830	      12002.040
          2.840	      12007.857
          2.850	      12013.710
          2.860	      12019.590
          2.870	      12025.500
          2.880	      12031.430
          2.890	      12037.387
          2.900	      12043.370
          2.910	      12049.370
          2.920	      12055.384
          2.930	      12061.400
          2.940	      12067.370
          2.950	      12073.284
          2.960	      12079.200
          2.970	      12085.130
          2.980	      12091.077
          2.990	      12096.936
          3.000	      12102.780
          3.010	      12108.660
          3.020	      12114.604
          3.030	      12120.630
          3.040	      12126.720
          3.050	      12132.886
          3.060	      12139.130
          3.070	      12145.470
          3.080	      12151.903
          3.090	      12158.440
          3.100	      12165.093
          3.110	      12171.860
          3.120	      12178.740
          3.130	      12185.737
          3.140	      12192.837
          3.150	      12200.030
          3.160	      12207.314
          3.170	      12214.664
          3.180	      12222.050
          3.190	      12229.460
          3.200	      12236.880
          3.210	      12244.280
          3.220	      12251.663
          3.230	      12259.007
          3.240	      12266.290
          3.250	      12273.497
          3.260	      12280.597
          3.270	      12287.500
          3.280	      12294.260
          3.290	      12300.866
          3.300	      12307.320
          3.310	      12313.614
          3.320	      12319.770
          3.330	      12325.810
          3.340	      12331.737
          3.350	      12337.553
          3.360	      12343.280
          3.370	      12348.906
          3.380	      12354.450
          3.390	      12359.920
          3.400	      12365.306
          3.410	      12370.633
          3.420	      12375.870
          3.430	      12381.020
          3.440	      12386.053
          3.450	      12390.970
          3.460	      12395.823
          3.470	      12400.646
          3.480	      12405.450
          3.490	      12410.264
          3.500	      12415.087
          3.510	      12419.930
          3.520	      12424.800
          3.530	      12429.717
          3.540	      12434.670
          3.550	      12439.686
          3.560	      12444.760
          3.570	      12449.920
          3.580	      12455.177
          3.590	      12460.520
          3.600	      12465.970
          3.610	      12471.520
          3.620	      12477.180
